treeType,plantingAreaAcre,plantingMonths,soilFertility,climateType,emissionReductionTCO2e
栎树,90,24,肥沃土壤,温带季风气候,50.0
樟树,120,30,中等肥力土壤,亚热带季风气候,65.0
榆树,105,36,肥沃土壤,温带大陆性气候,55.0
槐树,135,42,中等肥力土壤,温带季风气候,50.0
桦树,85,28,肥沃土壤,寒温带与亚寒带气候,35.0
杨树,120,26,中等肥力土壤,亚热带季风气候,60.0
桉树,100,38,肥沃土壤,热带季风气候,85.0
杉木,115,40,中等肥力土壤,温带大陆性气候,45.0
松树,95,30,肥沃土壤,寒温带与亚寒带气候,40.0
栎树,130,46,中等肥力土壤,温带季风气候,50.0
樟树,105,32,肥沃土壤,亚热带季风气候,70.0
榆树,125,34,中等肥力土壤,温带大陆性气候,45.0
槐树,90,28,肥沃土壤,温带季风气候,55.0
桦树,110,42,中等肥力土壤,寒温带与亚寒带气候,30.0
杨树,100,12,肥沃土壤,温带季风气候,20.0
杨树,150,24,中等肥力土壤,亚热带季风气候,45.0
杨树,200,36,贫瘠土壤,干旱与半干旱气候,30.0
桉树,80,18,肥沃土壤,热带季风气候,35.0
桉树,120,30,中等肥力土壤,亚热带季风气候,50.0
桉树,180,42,贫瘠土壤,滨海与盐碱化气候,40.0
杉木,90,20,肥沃土壤,亚热带季风气候,25.0
杉木,130,32,中等肥力土壤,温带大陆性气候,38.0
杉木,160,44,贫瘠土壤,寒温带与亚寒带气候,32.0
松树,110,22,肥沃土壤,温带大陆性气候,28.0
松树,140,34,中等肥力土壤,温带季风气候,42.0
松树,170,46,贫瘠土壤,干旱与半干旱气候,36.0
栎树,70,16,肥沃土壤,温带季风气候,18.0
栎树,105,28,中等肥力土壤,亚热带季风气候,32.0
栎树,155,40,贫瘠土壤,滨海与盐碱化气候,26.0
樟树,85,19,肥沃土壤,亚热带季风气候,22.0
樟树,125,31,中等肥力土壤,热带季风气候,43.0
樟树,175,43,贫瘠土壤,滨海与盐碱化气候,33.0
榆树,95,21,肥沃土壤,温带大陆性气候,23.0
榆树,135,33,中等肥力土壤,温带季风气候,39.0
榆树,165,45,贫瘠土壤,干旱与半干旱气候,31.0
槐树,100,23,肥沃土壤,温带季风气候,26.0
槐树,145,35,中等肥力土壤,亚热带季风气候,47.0
槐树,190,47,贫瘠土壤,滨海与盐碱化气候,37.0
桦树,80,17,肥沃土壤,寒温带与亚寒带气候,16.0
桦树,115,29,中等肥力土壤,温带大陆性气候,30.0
桦树,160,41,贫瘠土壤,干旱与半干旱气候,24.0
杨树,220,50,肥沃土壤,温带季风气候,60.0
桉树,200,52,中等肥力土壤,热带季风气候,70.0
杉木,180,54,贫瘠土壤,亚热带季风气候,55.0
松树,240,56,肥沃土壤,温带大陆性气候,65.0
栎树,160,58,中等肥力土壤,温带季风气候,52.0
樟树,210,60,贫瘠土壤,滨海与盐碱化气候,48.0
榆树,230,62,肥沃土壤,温带大陆性气候,63.0
槐树,215,64,中等肥力土壤,亚热带季风气候,72.0
桦树,195,66,贫瘠土壤,寒温带与亚寒带气候,45.0
杨树,250,68,肥沃土壤,温带季风气候,75.0
桉树,235,70,中等肥力土壤,热带季风气候,80.0
杉木,220,72,贫瘠土壤,亚热带季风气候,65.0
杨树,100,24,肥沃土壤,温带季风气候,35.0
桉树,120,30,中等肥力土壤,热带季风气候,42.0
杉木,80,18,肥沃土壤,亚热带季风气候,28.0
松树,150,36,中等肥力土壤,寒温带与亚寒带气候,45.0
栎树,90,27,肥沃土壤,温带大陆性气候,32.0
樟树,110,21,中等肥力土壤,亚热带季风气候,37.0
榆树,70,15,肥沃土壤,温带季风气候,23.0
槐树,130,33,中等肥力土壤,热带季风气候,40.0
桦树,140,39,中等肥力土壤,寒温带与亚寒带气候,48.0
杨树,95,25,中等肥力土壤,温带大陆性气候,33.0
桉树,115,31,贫瘠土壤,热带季风气候,38.0
杉木,85,19,中等肥力土壤,亚热带季风气候,29.0
松树,155,37,贫瘠土壤,寒温带与亚寒带气候,42.0
栎树,95,28,中等肥力土壤,温带大陆性气候,33.0
樟树,105,22,贫瘠土壤,亚热带季风气候,34.0
榆树,75,16,中等肥力土壤,温带季风气候,24.0
槐树,125,34,贫瘠土壤,热带季风气候,36.0
桦树,135,40,贫瘠土壤,寒温带与亚寒带气候,44.0
杨树,102,26,肥沃土壤,滨海与盐碱化气候,30.0
桉树,122,32,中等肥力土壤,滨海与盐碱化气候,35.0
杉木,82,20,肥沃土壤,亚热带季风气候,27.0
松树,152,38,中等肥力土壤,寒温带与亚寒带气候,46.0
栎树,92,29,肥沃土壤,温带大陆性气候,31.0
樟树,112,23,中等肥力土壤,亚热带季风气候,38.0
榆树,72,17,肥沃土壤,温带季风气候,22.0
槐树,132,35,中等肥力土壤,热带季风气候,41.0
桦树,142,41,中等肥力土壤,寒温带与亚寒带气候,49.0
杨树,98,23,贫瘠土壤,干旱与半干旱气候,25.0
桉树,118,29,贫瘠土壤,干旱与半干旱气候,31.0
杉木,88,17,贫瘠土壤,亚热带季风气候,24.0
松树,158,35,贫瘠土壤,寒温带与亚寒带气候,40.0
栎树,98,26,贫瘠土壤,温带大陆性气候,29.0
樟树,108,20,贫瘠土壤,亚热带季风气候,30.0
榆树,78,14,贫瘠土壤,温带季风气候,19.0
槐树,128,32,贫瘠土壤,热带季风气候,33.0
桦树,138,37,贫瘠土壤,寒温带与亚寒带气候,41.0
杨树,103,27,肥沃土壤,温带大陆性气候,34.0
桉树,123,33,中等肥力土壤,热带季风气候,43.0
杉木,83,21,肥沃土壤,亚热带季风气候,28.0
松树,153,39,中等肥力土壤,寒温带与亚寒带气候,47.0
栎树,93,30,肥沃土壤,温带大陆性气候,33.0
樟树,113,24,中等肥力土壤,亚热带季风气候,39.0
杨树,500,24,肥沃土壤,温带季风气候,250.0
桉树,300,18,中等肥力土壤,热带季风气候,180.0
杉木,400,30,肥沃土壤,亚热带季风气候,320.0
松树,600,36,中等肥力土壤,寒温带与亚寒带气候,350.0
栎树,200,20,贫瘠土壤,温带大陆性气候,80.0
樟树,350,26,肥沃土壤,亚热带季风气候,220.0
榆树,450,28,中等肥力土壤,温带季风气候,260.0
槐树,550,32,肥沃土壤,温带大陆性气候,300.0
桦树,250,16,中等肥力土壤,寒温带与亚寒带气候,120.0
杨树,700,48,肥沃土壤,温带季风气候,500.0
桉树,380,22,中等肥力土壤,热带季风气候,200.0
杉木,420,34,肥沃土壤,亚热带季风气候,340.0
松树,650,42,中等肥力土壤,寒温带与亚寒带气候,400.0
栎树,220,24,贫瘠土壤,温带大陆性气候,90.0
樟树,370,28,肥沃土壤,亚热带季风气候,230.0
榆树,480,30,中等肥力土壤,温带季风气候,270.0
槐树,580,36,肥沃土壤,温带大陆性气候,320.0
桦树,280,20,中等肥力土壤,寒温带与亚寒带气候,140.0
杨树,520,32,肥沃土壤,温带季风气候,280.0
桉树,330,26,中等肥力土壤,热带季风气候,190.0
杉木,440,38,肥沃土壤,亚热带季风气候,360.0
松树,680,46,中等肥力土壤,寒温带与亚寒带气候,420.0
栎树,240,26,贫瘠土壤,温带大陆性气候,100.0
樟树,390,30,肥沃土壤,亚热带季风气候,240.0
榆树,500,32,中等肥力土壤,温带季风气候,280.0
槐树,600,38,肥沃土壤,温带大陆性气候,330.0
桦树,300,22,中等肥力土壤,寒温带与亚寒带气候,150.0
杨树,550,36,肥沃土壤,温带季风气候,300.0
桉树,400,24,中等肥力土壤,热带季风气候,210.0
杉木,460,40,肥沃土壤,亚热带季风气候,380.0
松树,700,50,中等肥力土壤,寒温带与亚寒带气候,450.0
栎树,260,28,贫瘠土壤,温带大陆性气候,110.0
樟树,410,32,肥沃土壤,亚热带季风气候,250.0
榆树,520,34,中等肥力土壤,温带季风气候,290.0
槐树,620,40,肥沃土壤,温带大陆性气候,340.0
桦树,320,24,中等肥力土壤,寒温带与亚寒带气候,160.0
杨树,580,40,肥沃土壤,温带季风气候,320.0
桉树,420,26,中等肥力土壤,热带季风气候,220.0
杉木,480,42,肥沃土壤,亚热带季风气候,400.0
松树,720,52,中等肥力土壤,寒温带与亚寒带气候,480.0
栎树,280,30,贫瘠土壤,温带大陆性气候,120.0
樟树,430,34,肥沃土壤,亚热带季风气候,260.0
榆树,540,36,中等肥力土壤,温带季风气候,300.0
槐树,640,42,肥沃土壤,温带大陆性气候,350.0
桦树,340,26,中等肥力土壤,寒温带与亚寒带气候,170.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,180.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,40.0
桉树,120,30,肥沃土壤,热带季风气候,160.0
桉树,90,20,中等肥力土壤,亚热带季风气候,90.0
桉树,130,42,贫瘠土壤,滨海与盐碱化气候,110.0
杉木,110,26,肥沃土壤,亚热带季风气候,130.0
杉木,140,38,中等肥力土壤,温带季风气候,150.0
杉木,70,16,贫瘠土壤,寒温带与亚寒带气候,30.0
松树,160,48,肥沃土壤,温带大陆性气候,200.0
松树,100,22,中等肥力土壤,寒温带与亚寒带气候,70.0
松树,120,32,贫瘠土壤,干旱与半干旱气候,50.0
栎树,90,28,肥沃土壤,温带季风气候,100.0
栎树,130,40,中等肥力土壤,亚热带季风气候,140.0
栎树,80,14,贫瘠土壤,滨海与盐碱化气候,35.0
樟树,110,34,肥沃土壤,亚热带季风气候,150.0
樟树,100,24,中等肥力土壤,热带季风气候,110.0
樟树,120,20,贫瘠土壤,干旱与半干旱气候,25.0
榆树,140,42,肥沃土壤,温带大陆性气候,170.0
榆树,90,26,中等肥力土壤,温带季风气候,90.0
榆树,100,18,贫瘠土壤,寒温带与亚寒带气候,30.0
槐树,120,30,肥沃土壤,亚热带季风气候,130.0
槐树,110,22,中等肥力土壤,热带季风气候,100.0
槐树,130,16,贫瘠土壤,滨海与盐碱化气候,35.0
桦树,150,36,肥沃土壤,寒温带与亚寒带气候,140.0
桦树,100,20,中等肥力土壤,温带大陆性气候,60.0
桦树,120,14,贫瘠土壤,干旱与半干旱气候,20.0
杨树,80,30,肥沃土壤,亚热带季风气候,100.0
桉树,100,24,中等肥力土壤,温带大陆性气候,70.0
杉木,130,36,肥沃土壤,热带季风气候,150.0
松树,90,20,中等肥力土壤,温带季风气候,60.0
栎树,110,26,肥沃土壤,亚热带季风气候,120.0
樟树,120,32,中等肥力土壤,热带季风气候,110.0
榆树,100,18,贫瘠土壤,干旱与半干旱气候,20.0
槐树,140,42,肥沃土壤,温带大陆性气候,170.0
桦树,90,24,中等肥力土壤,温带季风气候,80.0
杨树,120,36,肥沃土壤,热带季风气候,160.0
桉树,100,20,中等肥力土壤,亚热带季风气候,90.0
杉木,130,28,肥沃土壤,温带季风气候,140.0
松树,110,22,中等肥力土壤,温带大陆性气候,70.0
杨树,100,24,肥沃土壤,温带季风气候,220.0
桉树,120,30,中等肥力土壤,热带季风气候,350.0
杉木,80,18,肥沃土壤,亚热带季风气候,150.0
松树,150,36,中等肥力土壤,温带大陆性气候,380.0
栎树,90,20,肥沃土壤,温带季风气候,200.0
樟树,110,26,中等肥力土壤,亚热带季风气候,280.0
榆树,70,16,肥沃土壤,温带大陆性气候,130.0
槐树,130,28,中等肥力土壤,温带季风气候,320.0
桦树,140,32,中等肥力土壤,寒温带与亚寒带气候,360.0
杨树,105,25,中等肥力土壤,温带大陆性气候,230.0
桉树,125,31,肥沃土壤,热带季风气候,370.0
杉木,85,19,中等肥力土壤,亚热带季风气候,160.0
松树,155,37,肥沃土壤,温带大陆性气候,400.0
栎树,95,21,中等肥力土壤,温带季风气候,210.0
樟树,115,27,肥沃土壤,亚热带季风气候,300.0
榆树,75,17,中等肥力土壤,温带大陆性气候,140.0
槐树,135,29,肥沃土壤,温带季风气候,340.0
桦树,145,33,肥沃土壤,寒温带与亚寒带气候,380.0
杨树,98,23,贫瘠土壤,干旱与半干旱气候,100.0
桉树,118,29,贫瘠土壤,滨海与盐碱化气候,180.0
杉木,78,17,贫瘠土壤,亚热带季风气候,80.0
松树,148,35,贫瘠土壤,温带大陆性气候,200.0
栎树,88,19,贫瘠土壤,温带季风气候,110.0
樟树,108,25,贫瘠土壤,亚热带季风气候,150.0
榆树,68,15,贫瘠土壤,温带大陆性气候,70.0
槐树,128,27,贫瘠土壤,温带季风气候,160.0
桦树,138,31,贫瘠土壤,寒温带与亚寒带气候,220.0
杨树,102,26,中等肥力土壤,干旱与半干旱气候,120.0
桉树,122,30,中等肥力土壤,滨海与盐碱化气候,200.0
杉木,82,18,中等肥力土壤,亚热带季风气候,90.0
松树,152,36,中等肥力土壤,温带大陆性气候,210.0
栎树,92,20,中等肥力土壤,温带季风气候,120.0
樟树,112,26,中等肥力土壤,亚热带季风气候,160.0
榆树,72,16,中等肥力土壤,温带大陆性气候,80.0
槐树,132,28,中等肥力土壤,温带季风气候,170.0
桦树,142,32,中等肥力土壤,寒温带与亚寒带气候,240.0
杨树,103,24,肥沃土壤,滨海与盐碱化气候,210.0
桉树,123,30,肥沃土壤,干旱与半干旱气候,190.0
杉木,83,18,肥沃土壤,寒温带与亚寒带气候,110.0
松树,153,36,肥沃土壤,滨海与盐碱化气候,370.0
栎树,93,20,肥沃土壤,干旱与半干旱气候,170.0
樟树,113,26,肥沃土壤,寒温带与亚寒带气候,260.0
榆树,73,16,肥沃土壤,滨海与盐碱化气候,120.0
槐树,133,28,肥沃土壤,干旱与半干旱气候,200.0
桦树,143,32,肥沃土壤,滨海与盐碱化气候,340.0
杨树,100,24,肥沃土壤,温带季风气候,50.0
桉树,120,30,中等肥力土壤,热带季风气候,70.0
杉木,80,18,肥沃土壤,亚热带季风气候,35.0
松树,150,36,中等肥力土壤,温带大陆性气候,90.0
栎树,90,27,贫瘠土壤,寒温带与亚寒带气候,20.0
樟树,110,33,肥沃土壤,亚热带季风气候,65.0
榆树,70,21,中等肥力土壤,温带季风气候,30.0
槐树,130,39,肥沃土壤,热带季风气候,80.0
桦树,140,42,中等肥力土壤,寒温带与亚寒带气候,55.0
杨树,95,25,中等肥力土壤,温带大陆性气候,45.0
桉树,125,31,肥沃土壤,热带季风气候,75.0
杉木,85,19,中等肥力土壤,亚热带季风气候,38.0
松树,155,37,肥沃土壤,温带大陆性气候,93.0
栎树,95,28,中等肥力土壤,寒温带与亚寒带气候,22.0
樟树,115,34,中等肥力土壤,亚热带季风气候,68.0
榆树,75,22,肥沃土壤,温带季风气候,32.0
槐树,135,40,中等肥力土壤,热带季风气候,83.0
桦树,145,43,肥沃土壤,寒温带与亚寒带气候,58.0
杨树,105,26,贫瘠土壤,温带季风气候,42.0
桉树,115,32,中等肥力土壤,热带季风气候,72.0
杉木,82,20,肥沃土壤,亚热带季风气候,40.0
松树,152,38,中等肥力土壤,温带大陆性气候,92.0
栎树,92,29,肥沃土壤,寒温带与亚寒带气候,25.0
樟树,112,35,中等肥力土壤,亚热带季风气候,67.0
榆树,72,23,中等肥力土壤,温带季风气候,31.0
槐树,132,41,肥沃土壤,热带季风气候,82.0
桦树,142,44,中等肥力土壤,寒温带与亚寒带气候,56.0
杨树,102,24,中等肥力土壤,滨海与盐碱化气候,43.0
桉树,122,32,肥沃土壤,热带季风气候,73.0
杉木,88,22,中等肥力土壤,亚热带季风气候,41.0
松树,158,39,肥沃土壤,温带大陆性气候,96.0
栎树,98,30,中等肥力土壤,寒温带与亚寒带气候,24.0
樟树,118,36,中等肥力土壤,亚热带季风气候,70.0
榆树,78,25,肥沃土壤,温带季风气候,34.0
槐树,138,42,中等肥力土壤,热带季风气候,85.0
桦树,148,45,肥沃土壤,寒温带与亚寒带气候,59.0
杨树,103,26,贫瘠土壤,干旱与半干旱气候,18.0
桉树,123,33,中等肥力土壤,热带季风气候,74.0
杉木,83,21,肥沃土壤,亚热带季风气候,39.0
松树,153,38,中等肥力土壤,温带大陆性气候,91.0
栎树,93,29,中等肥力土壤,寒温带与亚寒带气候,23.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,180.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,30.0
桉树,200,48,肥沃土壤,热带季风气候,400.0
桉树,120,30,中等肥力土壤,亚热带季风气候,150.0
桉树,90,20,贫瘠土壤,滨海与盐碱化气候,40.0
杉木,130,32,肥沃土壤,亚热带季风气候,160.0
杉木,180,42,中等肥力土壤,温带季风气候,220.0
杉木,70,16,贫瘠土壤,寒温带与亚寒带气候,20.0
松树,160,40,肥沃土壤,温带大陆性气候,240.0
松树,110,26,中等肥力土壤,寒温带与亚寒带气候,80.0
松树,140,34,贫瘠土壤,干旱与半干旱气候,50.0
栎树,95,22,肥沃土壤,温带季风气候,110.0
栎树,170,44,中等肥力土壤,亚热带季风气候,200.0
栎树,85,28,贫瘠土壤,滨海与盐碱化气候,35.0
樟树,125,38,肥沃土壤,亚热带季风气候,170.0
樟树,105,25,中等肥力土壤,热带季风气候,130.0
樟树,75,19,贫瘠土壤,干旱与半干旱气候,25.0
榆树,155,46,肥沃土壤,温带大陆性气候,260.0
榆树,135,33,中等肥力土壤,温带季风气候,190.0
榆树,100,23,贫瘠土壤,寒温带与亚寒带气候,60.0
槐树,185,50,肥沃土壤,温带季风气候,280.0
槐树,145,35,中等肥力土壤,亚热带季风气候,210.0
槐树,90,21,贫瘠土壤,滨海与盐碱化气候,30.0
桦树,115,27,肥沃土壤,寒温带与亚寒带气候,90.0
桦树,165,41,中等肥力土壤,温带大陆性气候,140.0
桦树,80,17,贫瘠土壤,干旱与半干旱气候,15.0
杨树,200,60,肥沃土壤,温带季风气候,300.0
桉树,250,72,肥沃土壤,热带季风气候,600.0
杉木,220,66,肥沃土壤,亚热带季风气候,350.0
松树,230,78,肥沃土壤,温带大陆性气候,450.0
栎树,210,63,肥沃土壤,温带季风气候,320.0
樟树,240,75,肥沃土壤,亚热带季风气候,420.0
榆树,190,57,肥沃土壤,温带大陆性气候,280.0
槐树,260,84,肥沃土壤,温带季风气候,500.0
桦树,175,54,肥沃土壤,寒温带与亚寒带气候,200.0
杨树,130,36,中等肥力土壤,温带大陆性气候,160.0
桉树,160,48,中等肥力土壤,亚热带季风气候,220.0
杉木,140,42,中等肥力土壤,温带季风气候,180.0
松树,150,54,中等肥力土壤,寒温带与亚寒带气候,120.0
栎树,120,30,中等肥力土壤,滨海与盐碱化气候,60.0
杨树,100,24,肥沃土壤,温带季风气候,200.0
杨树,150,36,中等肥力土壤,温带大陆性气候,320.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,60.0
桉树,120,48,肥沃土壤,热带季风气候,450.0
桉树,90,30,中等肥力土壤,亚热带季风气候,280.0
桉树,60,21,贫瘠土壤,滨海与盐碱化气候,120.0
杉木,110,33,肥沃土壤,亚热带季风气候,350.0
杉木,130,42,中等肥力土壤,温带季风气候,380.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,50.0
松树,140,45,肥沃土壤,温带大陆性气候,420.0
松树,100,39,中等肥力土壤,寒温带与亚寒带气候,250.0
松树,50,27,贫瘠土壤,干旱与半干旱气候,70.0
栎树,160,48,肥沃土壤,温带季风气候,480.0
栎树,120,36,中等肥力土壤,亚热带季风气候,320.0
栎树,80,24,贫瘠土壤,温带大陆性气候,100.0
樟树,90,30,肥沃土壤,亚热带季风气候,300.0
樟树,110,33,中等肥力土壤,热带季风气候,340.0
樟树,70,21,贫瘠土壤,滨海与盐碱化气候,90.0
榆树,130,39,肥沃土壤,温带大陆性气候,390.0
榆树,100,30,中等肥力土壤,温带季风气候,260.0
榆树,60,18,贫瘠土壤,干旱与半干旱气候,60.0
槐树,140,42,肥沃土壤,亚热带季风气候,400.0
槐树,110,33,中等肥力土壤,温带季风气候,290.0
槐树,70,24,贫瘠土壤,滨海与盐碱化气候,110.0
桦树,150,45,肥沃土壤,寒温带与亚寒带气候,430.0
桦树,120,36,中等肥力土壤,温带大陆性气候,300.0
桦树,80,27,贫瘠土壤,干旱与半干旱气候,80.0
杨树,200,60,肥沃土壤,温带季风气候,600.0
桉树,180,54,肥沃土壤,热带季风气候,700.0
杉木,170,51,肥沃土壤,亚热带季风气候,550.0
松树,190,57,肥沃土壤,温带大陆性气候,620.0
栎树,220,66,肥沃土壤,温带季风气候,750.0
樟树,210,63,肥沃土壤,亚热带季风气候,720.0
榆树,190,57,肥沃土壤,温带大陆性气候,650.0
槐树,230,69,肥沃土壤,亚热带季风气候,800.0
桦树,240,72,肥沃土壤,寒温带与亚寒带气候,850.0
杨树,250,75,中等肥力土壤,温带季风气候,500.0
桉树,260,78,中等肥力土壤,热带季风气候,650.0
杉木,270,81,中等肥力土壤,亚热带季风气候,600.0
松树,280,84,中等肥力土壤,温带大陆性气候,680.0
栎树,290,87,中等肥力土壤,温带季风气候,700.0
樟树,300,90,中等肥力土壤,亚热带季风气候,730.0
榆树,310,93,中等肥力土壤,温带大陆性气候,670.0
槐树,320,96,中等肥力土壤,亚热带季风气候,780.0
桦树,330,99,中等肥力土壤,寒温带与亚寒带气候,820.0
杨树,100,24,肥沃土壤,温带季风气候,35.0
桉树,150,30,中等肥力土壤,热带季风气候,60.0
杉木,80,18,肥沃土壤,亚热带季风气候,25.0
松树,200,36,中等肥力土壤,寒温带与亚寒带气候,40.0
栎树,120,26,肥沃土壤,温带大陆性气候,32.0
樟树,90,22,中等肥力土壤,亚热带季风气候,28.0
榆树,110,20,肥沃土壤,温带季风气候,30.0
槐树,130,28,中等肥力土壤,温带大陆性气候,36.0
桦树,140,32,肥沃土壤,寒温带与亚寒带气候,42.0
杨树,160,38,贫瘠土壤,干旱与半干旱气候,18.0
桉树,170,40,贫瘠土壤,滨海与盐碱化气候,22.0
杉木,70,16,贫瘠土壤,亚热带季风气候,15.0
松树,180,42,贫瘠土壤,寒温带与亚寒带气候,20.0
栎树,105,24,贫瘠土壤,温带大陆性气候,16.0
樟树,85,20,贫瘠土壤,亚热带季风气候,14.0
榆树,115,22,贫瘠土壤,温带季风气候,17.0
槐树,125,26,贫瘠土壤,温带大陆性气候,19.0
桦树,135,30,贫瘠土壤,寒温带与亚寒带气候,21.0
杨树,175,44,中等肥力土壤,干旱与半干旱气候,23.0
桉树,185,46,中等肥力土壤,滨海与盐碱化气候,26.0
杉木,75,19,中等肥力土壤,亚热带季风气候,20.0
松树,190,48,中等肥力土壤,寒温带与亚寒带气候,25.0
栎树,108,25,中等肥力土壤,温带大陆性气候,22.0
樟树,88,21,中等肥力土壤,亚热带季风气候,18.0
榆树,118,23,中等肥力土壤,温带季风气候,21.0
槐树,128,27,中等肥力土壤,温带大陆性气候,24.0
桦树,138,31,中等肥力土壤,寒温带与亚寒带气候,26.0
杨树,195,50,肥沃土壤,干旱与半干旱气候,28.0
桉树,200,52,肥沃土壤,滨海与盐碱化气候,31.0
杉木,82,21,肥沃土壤,亚热带季风气候,26.0
松树,210,54,肥沃土壤,寒温带与亚寒带气候,35.0
栎树,112,27,肥沃土壤,温带大陆性气候,30.0
樟树,92,23,肥沃土壤,亚热带季风气候,24.0
榆树,122,25,肥沃土壤,温带季风气候,27.0
槐树,132,29,肥沃土壤,温带大陆性气候,32.0
桦树,142,33,肥沃土壤,寒温带与亚寒带气候,37.0
杨树,220,56,中等肥力土壤,干旱与半干旱气候,25.0
桉树,230,58,中等肥力土壤,滨海与盐碱化气候,29.0
杉木,85,22,中等肥力土壤,亚热带季风气候,21.0
松树,220,60,中等肥力土壤,寒温带与亚寒带气候,30.0
杨树,100,24,肥沃土壤,温带季风气候,80.0
杨树,150,36,中等肥力土壤,温带大陆性气候,120.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,30.0
桉树,200,48,肥沃土壤,热带季风气候,200.0
桉树,120,30,中等肥力土壤,亚热带季风气候,90.0
桉树,60,12,贫瘠土壤,滨海与盐碱化气候,20.0
杉木,180,36,肥沃土壤,亚热带季风气候,140.0
杉木,130,24,中等肥力土壤,温带季风气候,85.0
杉木,90,18,贫瘠土壤,寒温带与亚寒带气候,35.0
松树,220,60,肥沃土壤,温带大陆性气候,220.0
松树,160,42,中等肥力土壤,寒温带与亚寒带气候,110.0
松树,70,15,贫瘠土壤,干旱与半干旱气候,25.0
栎树,140,48,肥沃土壤,温带季风气候,160.0
栎树,110,36,中等肥力土壤,亚热带季风气候,95.0
栎树,50,12,贫瘠土壤,滨海与盐碱化气候,15.0
樟树,250,60,肥沃土壤,亚热带季风气候,250.0
樟树,170,42,中等肥力土壤,热带季风气候,130.0
樟树,80,18,贫瘠土壤,滨海与盐碱化气候,30.0
榆树,160,36,肥沃土壤,温带大陆性气候,120.0
榆树,120,24,中等肥力土壤,温带季风气候,75.0
榆树,100,18,贫瘠土壤,干旱与半干旱气候,30.0
槐树,200,48,肥沃土壤,温带季风气候,180.0
槐树,150,30,中等肥力土壤,亚热带季风气候,100.0
槐树,70,12,贫瘠土壤,滨海与盐碱化气候,20.0
桦树,180,36,肥沃土壤,寒温带与亚寒带气候,130.0
桦树,140,24,中等肥力土壤,温带大陆性气候,80.0
桦树,90,18,贫瘠土壤,干旱与半干旱气候,35.0
杨树,110,30,肥沃土壤,亚热带季风气候,95.0
桉树,170,42,中等肥力土壤,热带季风气候,135.0
杉木,140,36,肥沃土壤,温带季风气候,110.0
松树,230,66,肥沃土壤,寒温带与亚寒带气候,230.0
栎树,150,48,中等肥力土壤,亚热带季风气候,105.0
樟树,210,54,肥沃土壤,热带季风气候,210.0
榆树,130,27,中等肥力土壤,温带大陆性气候,80.0
槐树,180,36,肥沃土壤,温带季风气候,140.0
桦树,160,30,中等肥力土壤,寒温带与亚寒带气候,90.0
杨树,90,21,贫瘠土壤,干旱与半干旱气候,25.0
桉树,100,24,中等肥力土壤,滨海与盐碱化气候,35.0
杉木,110,27,肥沃土壤,亚热带季风气候,90.0
松树,190,45,中等肥力土壤,温带大陆性气候,120.0
栎树,120,30,肥沃土壤,温带季风气候,100.0
樟树,170,42,中等肥力土壤,热带季风气候,130.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
桉树,150,30,中等肥力土壤,热带季风气候,200.0
杉木,80,18,肥沃土壤,亚热带季风气候,85.0
松树,200,36,中等肥力土壤,温带大陆性气候,250.0
栎树,120,28,肥沃土壤,温带季风气候,150.0
樟树,90,22,中等肥力土壤,亚热带季风气候,100.0
榆树,130,26,肥沃土壤,温带大陆性气候,135.0
槐树,160,32,中等肥力土壤,温带季风气候,180.0
桦树,110,20,肥沃土壤,寒温带与亚寒带气候,110.0
杨树,140,34,贫瘠土壤,干旱与半干旱气候,70.0
桉树,170,38,中等肥力土壤,滨海与盐碱化气候,160.0
杉木,70,16,贫瘠土壤,亚热带季风气候,60.0
松树,190,40,中等肥力土壤,温带大陆性气候,230.0
栎树,105,24,肥沃土壤,温带季风气候,125.0
樟树,85,20,中等肥力土壤,亚热带季风气候,90.0
榆树,125,26,肥沃土壤,温带大陆性气候,130.0
槐树,155,32,中等肥力土壤,温带季风气候,170.0
桦树,100,18,肥沃土壤,寒温带与亚寒带气候,100.0
杨树,130,30,贫瘠土壤,干旱与半干旱气候,65.0
桉树,160,36,中等肥力土壤,滨海与盐碱化气候,150.0
杉木,60,14,贫瘠土壤,亚热带季风气候,50.0
松树,180,38,中等肥力土壤,温带大陆性气候,220.0
栎树,110,26,肥沃土壤,温带季风气候,135.0
樟树,95,22,中等肥力土壤,亚热带季风气候,105.0
榆树,135,28,肥沃土壤,温带大陆性气候,140.0
槐树,165,34,中等肥力土壤,温带季风气候,185.0
桦树,105,20,肥沃土壤,寒温带与亚寒带气候,115.0
杨树,150,36,贫瘠土壤,干旱与半干旱气候,75.0
桉树,180,42,中等肥力土壤,滨海与盐碱化气候,170.0
杉木,75,16,贫瘠土壤,亚热带季风气候,65.0
松树,200,44,中等肥力土壤,温带大陆性气候,240.0
栎树,125,30,肥沃土壤,温带季风气候,155.0
